"bookid","title","author","publicationyear","price","genre"
1,"The Great Gatsby","F. Scott Fitzgerald",1925,12,"Classic"
2,"To Kill a Mockingbird","Harper Lee",1960,10,"Fiction"
3,"1984","George Orwell",1949,9,"Dystopian"
4,"Pride and Prejudice","Jane Austen",1813,8,"Romance"
5,"The Hobbit","J.R.R. Tolkien",1937,14,"Fantasy"
6,"Dune","Frank Herbert",1965,11,"Science Fiction"
7,"Moby Dick","Herman Melville",1851,13,"Adventure"
8,"War and Peace","Leo Tolstoy",1869,18,"Historical Fiction"
9,"The Catcher in the Rye","J.D. Salinger",1951,11,"Coming-of-age"
10,"The Lord of the Rings","J.R.R. Tolkien",1954,22,"Fantasy"
